"tconst","averageRating","numVotes"
"tt10223382",8.4,29
"tt10223702",7.3,247
"tt10223910",7.7,53
"tt10224592",5.9,16
"tt10224596",5.5,445
"tt10224728",8.7,25
"tt10224976",5.6,7
"tt10225100",7.1,203
"tt10225108",7.1,90
"tt10225224",6.1,684
"tt10226068",6.4,13
"tt10228032",7.2,162
"tt10228276",7.6,62
"tt10229006",5.4,14
"tt10229624",7.9,16
"tt10230036",6.8,245
"tt10230058",6.2,8
"tt10230174",6.4,10
"tt10230294",2.8,6
"tt10230370",7.8,482
"tt10230452",6.3,64
"tt10230502",7.3,1659
"tt10231312",7.7,25946
"tt10231358",3.2,152
"tt10233400",5.2,16
"tt10233448",8.8,53272
"tt10233662",7.9,76
"tt10233774",8.6,13
"tt10233836",8.1,353
"tt10234362",6.7,21513
"tt10234500",7.2,57
"tt10234636",6.1,39
"tt10235146",5.6,49
"tt10235428",7.6,5
"tt10235674",8,17
"tt10235710",6.1,19
"tt10235926",9.3,151
"tt10236760",7.2,451
"tt10237042",4.4,34
"tt10237790",6.9,955
"tt10238718",5.5,159
"tt10238736",8.2,20
"tt10238792",5.1,4988
"tt10238844",9.3,59
"tt10240496",8.1,31
"tt10240522",6.5,92
"tt10240550",8.2,8
"tt10240666",6.1,58
"tt10240898",9.2,20
"tt10241146",8.8,5
"tt10241238",5.6,2718
"tt10241812",8.7,243
"tt10241886",8.2,80
"tt10241992",2.6,89
"tt10242176",8,104
"tt10242848",7.8,924
"tt10243628",7.1,1299
"tt10243640",7.6,564
"tt10243692",7.6,1848
"tt10243828",8.9,11
"tt10244188",7,9
"tt10244600",8.3,22249
"tt10245374",8.8,6
"tt10245798",8.6,7
"tt10245982",6,38
"tt10246048",7.6,11
"tt10248788",9,25
"tt10249352",7.7,100
"tt10249586",8.1,15
"tt10250856",3.2,77
"tt10253244",7.8,1743
"tt10255874",8.4,25
"tt10256088",8.3,14
"tt10256170",8,33
"tt10256182",4.7,13
"tt10256188",8.8,17
"tt10256646",6.5,38
"tt10256918",6.9,518
"tt10256988",7.3,8
"tt10257002",7.8,70
"tt10257240",8.2,15
"tt10257338",6,25
"tt10259358",8.5,229
"tt10261286",5.4,45
"tt10261292",8,44
"tt10261304",8.3,7
"tt10261464",7.1,9
"tt10262630",7.6,8097
"tt10262696",6.8,146
"tt10262752",5.1,223
"tt10262772",5,30
"tt10264026",7.6,110
"tt10264328",6.8,7
"tt10265028",7.4,72
"tt10265146",6.4,271
"tt10265158",8,2665
"tt10265414",7,14
"tt10266426",8.2,84
"tt10266874",6.7,9504
"tt10267146",7.8,433
"tt10267598",8,8
"tt10267798",5.3,380
"tt10267800",7.7,505
"tt10267912",8.2,196
"tt10268080",6.9,216
"tt10269312",6.8,38
"tt10269748",6.8,24
"tt10269836",7.6,44
"tt10270040",7.4,13
"tt10270248",7.2,10
"tt10270566",4,13
"tt10270594",9.5,6
"tt10271006",7.7,7
"tt10271468",9.3,15
"tt10271470",6.6,42
"tt10271544",8,839
"tt10271894",6.5,11
"tt10271948",9,53
"tt10273628",6,6
"tt10274462",8.1,423
"tt10274478",8.1,67
"tt10276062",6.8,2761
"tt10276322",7.5,213
"tt10276462",6.7,101
"tt10276524",6.9,7
"tt10276578",6.6,288
"tt10278814",6.6,21
"tt10278918",5.7,31952
"tt10279176",6.9,3106
"tt10279242",7.3,10
"tt10279336",6.3,10
"tt10279408",8.4,24
"tt10280878",6.6,28
"tt10281058",5.8,212
"tt10282684",6.6,6
"tt10282720",5.8,5
"tt10282734",7,110
"tt10283742",6.1,174
"tt10285110",7.5,22
"tt10285314",4.6,142
"tt10285320",8.6,800
"tt10285354",6.8,5
"tt10287062",8.1,7
"tt10287238",5.5,17
"tt10287666",6.3,17
"tt10288224",5.9,180
"tt10290114",7.4,3401
"tt10290250",6.4,23
"tt10290274",4.6,218
"tt10290552",7.9,29
"tt10290992",9.1,27
"tt10291282",6.9,7
"tt10293068",8.8,18
"tt10293492",7.1,10
"tt10293708",7.6,28
"tt10293798",6.9,14
"tt10293938",7.5,69510
"tt10294074",3.7,17
"tt10294164",7,6702
"tt10294544",4.2,16
"tt10294654",7.1,29
"tt10295228",1,416
"tt10295456",7.1,635
"tt10295468",2.5,14
"tt10295478",7.6,5
"tt10295494",2.5,7
"tt10295772",8.8,30
"tt10295942",7.6,10
"tt10297814",8.1,19
"tt10298328",7.3,30
"tt10298414",8.5,27
"tt10298652",8.8,21
"tt10300064",6.3,11
"tt10300118",3.8,42
"tt10300338",4.8,46
"tt10300410",6.6,48
"tt10300588",7.9,15
"tt10300616",3.1,70
"tt10300712",6.5,11
"tt10301656",8.8,10
"tt10302498",5.2,70
"tt10302548",6.6,594
"tt10303674",7.4,163
"tt10305356",2,18
"tt10305410",6.9,168
"tt10305444",7.4,62
"tt10305452",2.1,120
"tt10305480",4.7,7
"tt10305486",1.6,6
"tt10305548",6.5,71
"tt10305614",8.7,45
"tt10305992",7.1,2152
"tt10306310",4.9,76
"tt10306320",6.6,584
"tt10307796",7.1,222
"tt10308554",6.6,575
"tt10308560",7.3,23
"tt10308632",8.1,15707
"tt10308648",8.7,9
"tt10309096",7.5,35
"tt10309118",5.9,1112
"tt10309492",5.7,239
"tt10311562",6.8,5148
"tt10312484",8.2,158
"tt10312776",6.8,2448
"tt10312854",5.9,2035
"tt10312958",6.6,335
"tt10312964",6.2,2670
"tt10313066",7.5,12394
"tt10313176",6.6,9425
"tt10314462",8.1,17042
"tt10314692",6.5,12
"tt10315062",6.7,82
"tt10315068",4.2,7
"tt10318262",9,5
"tt10318590",5.6,43
"tt10319456",6.2,12
"tt10319478",8.4,401
"tt10319866",7.1,2208
"tt10319942",8.4,280
"tt10319992",3.1,115
"tt10320398",8.2,1782
"tt10321842",7.8,31
"tt10322554",5.1,19
"tt10322826",2.6,10
"tt10322972",7.2,96
"tt10322984",4.8,23
"tt10323232",7.8,106
"tt10323244",5.5,39
"tt10323334",7.5,13
"tt10323338",7.2,18528
"tt10323634",7.8,6
"tt10324164",8.5,9526
"tt10324306",6.6,2230
"tt10324336",6.2,98
"tt10326888",8.6,11
"tt10327294",5.8,2187
"tt10327354",7.7,22117
"tt10327412",6.6,2812
"tt10327440",7.2,729
"tt10327526",6.2,1854
"tt10327830",7.7,8985
"tt10328494",7.6,575
"tt10329024",7,4882
"tt10329028",7.2,4471
"tt10329042",7,5483
"tt10329044",6,844
"tt10329046",6.7,2316
"tt10329642",7.6,3658
"tt10329660",5,392
"tt10330532",6.6,9
"tt10332322",6.7,242
"tt10332508",8.7,17369
"tt10332528",7.6,64
"tt10332980",3.1,11
"tt10333258",3.4,429
"tt10333340",7.1,90
"tt10333500",6.5,215
"tt10333532",6.6,6
"tt10333650",7.8,419
"tt10333780",5.9,45
"tt10335936",8.9,12
"tt10336526",3.5,11
"tt10337388",6.6,125
"tt10337912",8.9,64
"tt10338050",6.9,153
"tt10338134",4.6,273
"tt10338160",3.2,5437
"tt10338496",7.3,19
"tt10340028",8.3,22
"tt10340368",8,415
"tt10340488",6,5
"tt10340494",8.6,6
"tt10340594",8.1,12
"tt10340616",5.5,47
"tt10340718",5.8,19
"tt10340760",6.1,10
"tt10340806",6,16
"tt10340810",8.2,7
"tt10340822",7.4,38
"tt10340828",6.8,27
"tt10340916",7.8,6
"tt10341020",8.3,16
"tt10341062",8.9,10
"tt10341942",6.6,9
"tt10343752",6.5,128
"tt10344022",7.7,10
"tt10344410",6.5,8866
"tt10344470",7.8,7
"tt10344526",7.9,86
"tt10344670",6.8,33
"tt10344736",6.2,8
"tt10345878",7.7,15
"tt10345950",6.7,48
"tt10346492",7.3,7
"tt10347344",8.6,5
"tt10347516",6.6,449
"tt10347594",6.4,10
"tt10347622",7,718
"tt10347886",6.9,233
"tt10348002",8,26
"tt10348078",7.8,326
"tt10348268",7.4,50
"tt10348478",8,164
"tt10348512",8.4,94
"tt10348530",4.6,7
"tt10348700",6.6,198
"tt10348734",7.8,27
"tt10349252",5.8,26
"tt10349366",5.5,10
"tt10350562",7.2,79
"tt10350606",7,16
"tt10350612",6.4,28
"tt10350646",7.3,166
"tt10350842",5,11
"tt10350924",5.9,272
"tt10351108",5.8,18
"tt10351182",6.9,24
"tt10351218",2.7,7
"tt10351232",7.7,699
"tt10351246",8.2,11
"tt10351402",4.6,11
"tt10352618",4.9,17
"tt10353060",8.3,145
"tt10354614",5.6,102
"tt10355770",6,10
"tt10356886",8.7,26
"tt10357596",7.4,92
"tt10358798",7.9,28
"tt10359174",8.2,21
"tt10359446",8.2,5387
"tt10359484",7.6,48
"tt10360198",5.6,5
"tt10360586",7.9,24
"tt10360898",4.8,33
"tt10361016",6.1,10308
"tt10361108",7.2,11
"tt10361768",8.7,23
"tt10361854",8.4,19
"tt10361862",1.7,20
"tt10362632",7,948
"tt10363712",8.5,18
"tt10363720",9,39
"tt10364178",8.8,25
"tt10364252",7.5,75
"tt10365640",7.9,18
"tt10365896",8.1,41
"tt10365978",8.2,1605
"tt10366024",5.7,20
"tt10366052",8.1,32
"tt10366058",7.9,11
"tt10366148",4.3,140
"tt10366494",7.7,577
"tt10366542",7.2,118
"tt10366544",8.6,8
"tt10366552",7.3,491
"tt10367474",7.8,18
"tt10367634",7.4,8
"tt10367698",8,62
"tt10367818",5,263
"tt10367990",6.5,1215
"tt10368512",8.1,12
"tt10368716",4.3,211
"tt10369056",8.3,18
"tt10369404",9,9
"tt10369484",6.5,6752
"tt10369876",7.7,1348
"tt10370426",8,15
"tt10370486",5.7,319
"tt10370714",7.3,192
"tt10370724",6.9,35
"tt10370730",4.8,56
"tt10370734",7.8,29
"tt10370736",7.2,155
"tt10370738",6.1,105
"tt10370750",8.4,1066
"tt10370752",6.5,227
"tt10370806",7.2,328
"tt10370866",6.4,119
"tt10370952",6.9,111
"tt10370956",6,855
"tt10370958",6.6,46
"tt10370978",6.6,353
"tt10371028",6.4,24
"tt10371052",6.6,110
"tt10371088",6.1,450
"tt10371216",7.4,72
"tt10373928",9.1,68
"tt10374050",6.1,467
"tt10374242",4.2,40
"tt10374492",8.7,26
"tt10374934",7.3,9
"tt10375346",7.8,23
"tt10375354",3.1,30
"tt10375362",8.2,7
"tt10375482",7.4,65
"tt10375558",6.9,21
"tt10375568",6.6,4607
"tt10375672",7,75
"tt10375684",9.1,7
"tt10375742",7.2,149
"tt10375744",7,6
"tt10375748",7.6,104
"tt10375762",7.8,28
"tt10375770",9.2,22
"tt10375842",6.9,17
"tt10376904",6.3,1159
"tt10377430",6.2,709
"tt10378026",8.3,14
"tt10379018",3.2,272
"tt10379670",4.3,310
"tt10379892",7,24
"tt10379976",6.6,36
"tt10380168",7.2,480
"tt10380308",1.4,202
"tt10380324",9.3,90
"tt10380340",5.5,9
"tt10380358",5.7,12
"tt10380642",7.4,56
"tt10380768",7.5,16215
"tt10380784",8.6,9
"tt10380814",7.4,90
"tt10380884",6.6,89
"tt10380886",8,12
"tt10380896",7.7,442
